achterher	https://plattmakers.de/de/13530/achterher	_	_	achterher	achterher	https://nds-spraakverarbeiden.github.io/linked-nds-dictionaries/woewoe.ttl#achterher
_	_	_	_	achterher	achterher	https://nds-spraakverarbeiden.github.io/linked-nds-dictionaries/woewoe.ttl#achterher_ween
_	_	_	_	achterher	achterher	https://nds-spraakverarbeiden.github.io/linked-nds-dictionaries/woewoe.ttl#dor_achteran%7Cachterher_ween
achterin	https://plattmakers.de/de/13531/achterin	_	_	achterin	_
Achterkoorn	https://plattmakers.de/de/13532/Achterkoorn	_	_	Achterkoorn	_
Apparat	https://plattmakers.de/de/13572/Apparat	_	_	Apparat	Apparoot	https://nds-spraakverarbeiden.github.io/linked-nds-dictionaries/woewoe.ttl#Apparoot
Atlantik	https://plattmakers.de/de/13590/Atlantik	_	_	Atlantik	_
alldagsch	https://plattmakers.de/de/13981/alldagsch	_	_	alldagsch	_
Arft	https://plattmakers.de/de/1410/Arft	_	_	Arft	_
Aalsupp	https://plattmakers.de/de/14124/Aalsupp	_	_	Aalsupp	Oolsupp	https://nds-spraakverarbeiden.github.io/linked-nds-dictionaries/woewoe.ttl#Oolsupp
Aalkruut	https://plattmakers.de/de/14125/Aalkruut	_	_	Aalkruut	_
Appelgoorn	https://plattmakers.de/de/14169/Appelgoorn	_	_	Appelgoorn	_
arven	https://plattmakers.de/de/1417/arven	_	_	arven	Ârḃen	https://nds-spraakverarbeiden.github.io/linked-nds-dictionaries/woewoe.ttl#%C3%82rv%7C%C3%82r%E1%B8%83en
_	_	_	_	arven	ârḃen	https://nds-spraakverarbeiden.github.io/linked-nds-dictionaries/woewoe.ttl#%C3%A2r%E1%B8%83en
Arv	https://plattmakers.de/de/1418/Arv	_	_	Arv	Ârf	https://nds-spraakverarbeiden.github.io/linked-nds-dictionaries/woewoe.ttl#%C3%82rf
Arvdeel	https://plattmakers.de/de/1419/Arvdeel	_	_	Arvdeel	Ârvdēēl	https://nds-spraakverarbeiden.github.io/linked-nds-dictionaries/woewoe.ttl#dat_%C3%82rvd%C4%93%C4%93l
Achterreep	https://plattmakers.de/de/14258/Achterreep	_	_	Achterreep	Achterrēēp	https://nds-spraakverarbeiden.github.io/linked-nds-dictionaries/woewoe.ttl#de%7Cdat_Achterr%C4%93%C4%93p
ahoi	https://plattmakers.de/de/14380/ahoi	_	_	ahoi	_
Averiessel	https://plattmakers.de/de/14420/Averiessel	_	_	Averiessel	_
