_	_	_	_	grot	grōōt	https://nds-spraakverarbeiden.github.io/linked-nds-dictionaries/woewoe.ttl#gr%C5%8D%C5%8Dt%7Ch%C5%8D%C5%8Dch
_	_	_	_	grot	grōōt	https://nds-spraakverarbeiden.github.io/linked-nds-dictionaries/woewoe.ttl#gr%C5%8D%C5%8Dt_w%C3%A2rrn
Welt 	https://www.niederdeutsche-literatur.de/dwn/dwn_frw_he.php?W_ID=45	Welt	_	Welt	Welt	https://nds-spraakverarbeiden.github.io/linked-nds-dictionaries/woewoe.ttl#Welt
_	_	_	_	Welt	Welt	https://nds-spraakverarbeiden.github.io/linked-nds-dictionaries/woewoe.ttl#h%C4%93le_Welt
_	_	_	_	Welt	Welt	https://nds-spraakverarbeiden.github.io/linked-nds-dictionaries/woewoe.ttl#ut%E2%80%99e_Welt_ween
up 	https://www.niederdeutsche-literatur.de/dwn/dwn_frw_he.php?W_ID=54	up	_	up	_
klingen 	https://www.niederdeutsche-literatur.de/dwn/dwn_frw_he.php?W_ID=58	klingen	_	klingen	klingen	https://nds-spraakverarbeiden.github.io/linked-nds-dictionaries/woewoe.ttl#klingen
bi 	https://www.niederdeutsche-literatur.de/dwn/dwn_frw_he.php?W_ID=62	bi	_	bi	bi	https://nds-spraakverarbeiden.github.io/linked-nds-dictionaries/woewoe.ttl#%28s%C5%8D%29_um_un_bi
_	_	_	_	bi	bi	https://nds-spraakverarbeiden.github.io/linked-nds-dictionaries/woewoe.ttl#bi
_	_	_	_	bi	bi	https://nds-spraakverarbeiden.github.io/linked-nds-dictionaries/woewoe.ttl#s%C5%8D_bi
_	_	_	_	bi	bi	https://nds-spraakverarbeiden.github.io/linked-nds-dictionaries/woewoe.ttl#s%C5%8D_bi_%E2%80%A6_ut
_	_	_	_	bi	bi	https://nds-spraakverarbeiden.github.io/linked-nds-dictionaries/woewoe.ttl#um_un_bi_u%7C%C3%BC_
Sod 	https://www.niederdeutsche-literatur.de/dwn/dwn_frw_he.php?W_ID=64	Sod	_	Sod	_
an 	https://www.niederdeutsche-literatur.de/dwn/dwn_frw_he.php?W_ID=65	an	_	an	an	https://nds-spraakverarbeiden.github.io/linked-nds-dictionaries/woewoe.ttl#%E2%80%A6_an_%E2%80%A6
_	_	_	_	an	an	https://nds-spraakverarbeiden.github.io/linked-nds-dictionaries/woewoe.ttl#an
segeln 	https://www.niederdeutsche-literatur.de/dwn/dwn_frw_he.php?W_ID=70	segeln	_	segeln	segeln	https://nds-spraakverarbeiden.github.io/linked-nds-dictionaries/woewoe.ttl#segeln
still 	https://www.niederdeutsche-literatur.de/dwn/dwn_frw_he.php?W_ID=72	still	_	still	still	https://nds-spraakverarbeiden.github.io/linked-nds-dictionaries/woewoe.ttl#still
_	_	_	_	still	still	https://nds-spraakverarbeiden.github.io/linked-nds-dictionaries/woewoe.ttl#still_ween
Man, Mand 	https://www.niederdeutsche-literatur.de/dwn/dwn_frw_he.php?W_ID=74	Man	_	Man,	Man	https://nds-spraakverarbeiden.github.io/linked-nds-dictionaries/woewoe.ttl#Man_t%C5%8D
_	_	_	_	Man,	Mann	https://nds-spraakverarbeiden.github.io/linked-nds-dictionaries/woewoe.ttl#Mann
_	_	_	_	Man,	Mann	https://nds-spraakverarbeiden.github.io/linked-nds-dictionaries/woewoe.ttl#Mann_%C5%8Dh_Mann
_	_	_	_	Man,	Mann	https://nds-spraakverarbeiden.github.io/linked-nds-dictionaries/woewoe.ttl#Mann_an%E2%80%99t_R%C5%8D%C5%8Dr
_	_	_	_	Man,	Mann	https://nds-spraakverarbeiden.github.io/linked-nds-dictionaries/woewoe.ttl#Mann_in%E2%80%99t_Amt
_	_	_	_	Man,	Mann	https://nds-spraakverarbeiden.github.io/linked-nds-dictionaries/woewoe.ttl#Mann_um%7Cf%C3%B6r_Mann_u%7C%C3%BC
_	_	_	_	Man,	Mann	https://nds-spraakverarbeiden.github.io/linked-nds-dictionaries/woewoe.ttl#N%C5%8D%C5%8Dt_an%E2%80%99_Mann
_	_	_	_	Man,	Mann	https://nds-spraakverarbeiden.github.io/linked-nds-dictionaries/woewoe.ttl#an%E2%80%99_Mann_ween
_	_	_	_	Man,	man	https://nds-spraakverarbeiden.github.io/linked-nds-dictionaries/woewoe.ttl#%C5%8D%C5%8Dk_man
_	_	_	_	Man,	man	https://nds-spraakverarbeiden.github.io/linked-nds-dictionaries/woewoe.ttl#as_man_%C4%93%C4%93n
_	_	_	_	Man,	man	https://nds-spraakverarbeiden.github.io/linked-nds-dictionaries/woewoe.ttl#as_man_wat
_	_	_	_	Man,	man	https://nds-spraakverarbeiden.github.io/linked-nds-dictionaries/woewoe.ttl#man
_	_	_	_	Man,	man	https://nds-spraakverarbeiden.github.io/linked-nds-dictionaries/woewoe.ttl#man_%C4%93%C4%93n
_	_	_	_	Man,	man	https://nds-spraakverarbeiden.github.io/linked-nds-dictionaries/woewoe.ttl#man_%E2%80%A6
_	_	_	_	Man,	man	https://nds-spraakverarbeiden.github.io/linked-nds-dictionaries/woewoe.ttl#man_jo
_	_	_	_	Mand	_
seihn 	https://www.niederdeutsche-literatur.de/dwn/dwn_frw_he.php?W_ID=76	seihn	_	seihn	sēhn	https://nds-spraakverarbeiden.github.io/linked-nds-dictionaries/woewoe.ttl#%C4%97n%C4%A1_s%C4%93hn
_	_	_	_	seihn	sēhn	https://nds-spraakverarbeiden.github.io/linked-nds-dictionaries/woewoe.ttl#liek_s%C4%93hn
_	_	_	_	seihn	sēhn	https://nds-spraakverarbeiden.github.io/linked-nds-dictionaries/woewoe.ttl#ni_s%C5%8D_%C4%97n%C4%A1_s%C4%93hn
_	_	_	_	seihn	sēhn	https://nds-spraakverarbeiden.github.io/linked-nds-dictionaries/woewoe.ttl#nix_liek_s%C4%93hn
_	_	_	_	seihn	sēhn	https://nds-spraakverarbeiden.github.io/linked-nds-dictionaries/woewoe.ttl#s%C4%93hn
_	_	_	_	seihn	sēhn	https://nds-spraakverarbeiden.github.io/linked-nds-dictionaries/woewoe.ttl#s%C5%8D_%C5%8Dder_s%C5%8D_s%C4%93hn
_	_	_	_	seihn	sēhn	https://nds-spraakverarbeiden.github.io/linked-nds-dictionaries/woewoe.ttl#sik_s%C4%93hn
_	_	_	_	seihn	sēhn	https://nds-spraakverarbeiden.github.io/linked-nds-dictionaries/woewoe.ttl#t%C5%8D_s%C4%93hn_gohn
wo 	https://www.niederdeutsche-literatur.de/dwn/dwn_frw_he.php?W_ID=84	wo	_	wo	wo	https://nds-spraakverarbeiden.github.io/linked-nds-dictionaries/woewoe.ttl#wo
_	_	_	_	wo	wo	https://nds-spraakverarbeiden.github.io/linked-nds-dictionaries/woewoe.ttl#wo_%E2%80%A6_as
_	_	_	_	wo	wo	https://nds-spraakverarbeiden.github.io/linked-nds-dictionaries/woewoe.ttl#wo_as
_	_	_	_	wo	wō	https://nds-spraakverarbeiden.github.io/linked-nds-dictionaries/woewoe.ttl#w%C5%8D
